Load,Active set ID
"(0.0, 0.0, 0.0, 0.0, 0.72, 0.0, 0.51, 0.0, 0.8, 3344)",1
"(0.0, 0.0, 0.0, 0.0, 1.18, 0.0, 0.62, 0.0, 1.37, 2492)",2
"(0.0, 0.0, 0.0, 0.0, 1.1, 0.0, 0.63, 0.0, 0.8, 2899)",1
"(0.0, 0.0, 0.0, 0.0, 1.35, 0.0, 0.92, 0.0, 1.41, 3587)",3
"(0.0, 0.0, 0.0, 0.0, 0.53, 0.0, 1.07, 0.0, 0.83, 2888)",1
"(0.0, 0.0, 0.0, 0.0, 1.11, 0.0, 0.72, 0.0, 0.67, 3554)",1
"(0.0, 0.0, 0.0, 0.0, 1.33, 0.0, 0.69, 0.0, 1.28, 3757)",3
"(0.0, 0.0, 0.0, 0.0, 1.35, 0.0, 1.32, 0.0, 1.06, 2731)",2
"(0.0, 0.0, 0.0, 0.0, 0.45, 0.0, 1.44, 0.0, 1.12, 3470)",3
"(0.0, 0.0, 0.0, 0.0, 0.84, 0.0, 0.53, 0.0, 1.35, 2438)",2
"(0.0, 0.0, 0.0, 0.0, 1.33, 0.0, 0.67, 0.0, 0.95, 2649)",2
"(0.0, 0.0, 0.0, 0.0, 0.72, 0.0, 1.17, 0.0, 0.8, 3176)",1
"(0.0, 0.0, 0.0, 0.0, 0.87, 0.0, 0.62, 0.0, 1.1, 2426)",1
"(0.0, 0.0, 0.0, 0.0, 0.76, 0.0, 1.01, 0.0, 0.79, 2618)",1
"(0.0, 0.0, 0.0, 0.0, 1.25, 0.0, 1.31, 0.0, 0.82, 3677)",3
"(0.0, 0.0, 0.0, 0.0, 1.02, 0.0, 0.9, 0.0, 1.6, 2861)",2
"(0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 1.32, 0.0, 0.67, 3798)",1
"(0.0, 0.0, 0.0, 0.0, 1.18, 0.0, 0.74, 0.0, 1.73, 3827)",3
"(0.0, 0.0, 0.0, 0.0, 0.53, 0.0, 1.01, 0.0, 1.83, 2658)",2
"(0.0, 0.0, 0.0, 0.0, 0.86, 0.0, 0.7, 0.0, 1.55, 3048)",3
"(0.0, 0.0, 0.0, 0.0, 1.27, 0.0, 1.26, 0.0, 1.01, 3539)",3
"(0.0, 0.0, 0.0, 0.0, 0.97, 0.0, 1.3, 0.0, 1.56, 2024)",2
"(0.0, 0.0, 0.0, 0.0, 0.85, 0.0, 1.33, 0.0, 0.89, 3594)",3
"(0.0, 0.0, 0.0, 0.0, 0.54, 0.0, 0.64, 0.0, 1.47, 2131)",1
"(0.0, 0.0, 0.0, 0.0, 0.47, 0.0, 1.44, 0.0, 1.09, 2031)",2
"(0.0, 0.0, 0.0, 0.0, 0.66, 0.0, 0.93, 0.0, 1.63, 2709)",2
"(0.0, 0.0, 0.0, 0.0, 0.91, 0.0, 0.76, 0.0, 1.03, 2057)",1
"(0.0, 0.0, 0.0, 0.0, 1.1, 0.0, 1.29, 0.0, 1.61, 3068)",3
"(0.0, 0.0, 0.0, 0.0, 1.18, 0.0, 1.45, 0.0, 0.63, 3626)",3
"(0.0, 0.0, 0.0, 0.0, 1.29, 0.0, 0.88, 0.0, 1.41, 2266)",2
"(0.0, 0.0, 0.0, 0.0, 0.81, 0.0, 0.78, 0.0, 0.71, 2465)",1
"(0.0, 0.0, 0.0, 0.0, 1.21, 0.0, 1.02, 0.0, 1.0, 3456)",3
"(0.0, 0.0, 0.0, 0.0, 0.71, 0.0, 1.34, 0.0, 0.9, 2732)",2
"(0.0, 0.0, 0.0, 0.0, 1.18, 0.0, 1.02, 0.0, 1.8, 2048)",2
"(0.0, 0.0, 0.0, 0.0, 1.08, 0.0, 0.97, 0.0, 1.76, 3768)",3
"(0.0, 0.0, 0.0, 0.0, 1.31, 0.0, 0.83, 0.0, 1.08, 3425)",3
